scenario	seed	pass-count	result
set-depth	1	1	PASS
set-extended-depth	1	1	PASS
set-gate-depth	1	1	PASS
set-direct-flags-depth	1	1	PASS
set-exceptions-depth	1	1	PASS
set-depth	2	1	PASS
set-extended-depth	2	1	PASS
set-gate-depth	2	1	PASS
set-direct-flags-depth	2	1	PASS
set-exceptions-depth	2	1	PASS
set-depth	3	1	PASS
set-extended-depth	3	1	PASS
set-gate-depth	3	1	PASS
set-direct-flags-depth	3	1	PASS
set-exceptions-depth	3	1	PASS
set-depth	5	1	PASS
set-extended-depth	5	1	PASS
set-gate-depth	5	1	PASS
set-direct-flags-depth	5	1	PASS
set-exceptions-depth	5	1	PASS
set-depth	8	1	PASS
set-extended-depth	8	1	PASS
set-gate-depth	8	1	PASS
set-direct-flags-depth	8	1	PASS
set-exceptions-depth	8	1	PASS
TOTAL	5 seeds x 5 scenarios	25	PASS
