command	c_handler	c_min_position	c_min_level	c_subcmd	status	go_evidence
'	do_say	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("'", ...)
.	do_reply	POS_SLEEPING	0	0	registered	pkg/session/commands.go:registerCommand(".", ...)
:	do_echo	POS_RESTING	1	SCMD_EMOTE	registered	pkg/session/commands.go:registerCommand(":", ...)
;	do_wiznet	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand(";", ...)
?	do_help	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("?", ...)
abilities	do_abils	POS_SLEEPING	0	0	registered	pkg/session/commands.go:registerCommand("abilities", ...)
accuse	do_action	POS_SITTING	0	0	social	pkg/game/socials.txt
admobs	adjust_mobs	POS_DEAD	LVL_IMPL-1	0	registered	pkg/session/commands.go:registerCommand("admobs", ...)
advance	do_advance	POS_DEAD	LVL_GRGOD	0	registered	pkg/session/commands.go:registerCommand("advance", ...)
afk	do_afk	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("afk", ...)
agree	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
aid	do_first_aid	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("aid", ...)
alias	do_alias	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("alias", ...)
alter	do_flesh_alter	POS_FIGHTING	0	0	registered	pkg/session/commands.go:registerCommand("alter", ...)
ambush	do_ambush	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("ambush", ...)
anguish	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
apologize	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
applaud	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
appraise	do_appraise	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("appraise", ...)
ask	do_spec_comm	POS_RESTING	0	SCMD_ASK	registered	pkg/session/commands.go:registerCommand("ask", ...)
assist	do_assist	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("assist", ...)
at	do_at	POS_DEAD	LVL_GRGOD	0	registered	pkg/session/commands.go:registerCommand("at", ...)
auction	do_gen_comm	POS_SLEEPING	0	SCMD_AUCTION	registered	pkg/session/commands.go:registerCommand("auction", ...)
auto	do_auto	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("auto", ...)
backstab	do_backstab	POS_STANDING	1	0	registered	pkg/session/commands.go:registerCommand("backstab", ...)
bah	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
balance	do_not_here	POS_STANDING	1	0	specproc	pkg/game/spec_procs4.go
ban	do_ban	POS_DEAD	LVL_GRGOD	0	registered	pkg/session/commands.go:registerCommand("ban", ...)
bash	do_bash	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("bash", ...)
bearhug	do_bearhug	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("bearhug", ...)
beckon	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
beg	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
behead	do_behead	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("behead", ...)
bellow	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
berserk	do_berserk	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("berserk", ...)
bird	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
bitch	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
bite	do_bite	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("bite", ...)
blame	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
bleed	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
bless	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
