command	reach_status	coverage	scenarios
# Assumption: player level = 1 (scenarios run as fresh mortals).
# Resolution table: pkg/session/command_order.tsv (508 rows).
# Scenario files parsed: 49.
'	registered	probed	command-surface-punctuation.txt
.	registered	probed	command-surface-punctuation.txt
:	registered	probed	command-surface-punctuation.txt
;	registered	probed	command-surface-punctuation.txt
?	registered	probed	act-informative-sweep.txt,help-system.txt
abilities	registered	never-probed	
accuse	social	never-probed	
admobs	missing	never-probed	
advance	registered	never-probed	
afk	registered	never-probed	
agree	social	never-probed	
aid	registered	never-probed	
alias	registered	never-probed	
alter	registered	never-probed	
ambush	registered	never-probed	
anguish	social	never-probed	
apologize	social	never-probed	
applaud	social	never-probed	
appraise	registered	never-probed	
ask	registered	probed	communication.txt
assist	registered	never-probed	
at	registered	never-probed	
auction	registered	never-probed	
auto	registered	never-probed	
backstab	registered	probed	combat-backstab-opener.txt
bah	social	never-probed	
balance	specproc	never-probed	
ban	registered	never-probed	
bash	registered	never-probed	
bearhug	registered	never-probed	
beckon	social	never-probed	
beg	social	never-probed	
behead	registered	never-probed	
bellow	social	never-probed	
berserk	registered	never-probed	
bird	social	never-probed	
bitch	social	never-probed	
bite	registered	never-probed	
blame	social	never-probed	
bleed	social	never-probed	
bless	social	never-probed	
blink	social	never-probed	
blush	social	never-probed	
boggle	social	never-probed	
boink	social	never-probed	
bonk	social	never-probed	
bounce	social	probed	pager-navigation.txt
bow	social	never-probed	
brb	social	never-probed	
brief	registered	probed	toggle-cluster.txt
bug	registered	never-probed	
burp	social	never-probed	
buy	registered	never-probed	
cackle	social	never-probed	
carve	registered	never-probed	
cast	registered	probed	cast-gating.txt
charge	registered	never-probed	
check	missing	never-probed	
checkload	registered	never-probed	
cheer	social	never-probed	
chide	social	never-probed	
chuckle	social	never-probed	
circle	registered	never-probed	
clan	registered	never-probed	
clap	social	never-probed	
clear	registered	never-probed	
close	registered	probed	object-door-messages.txt,object-doors.txt,object-inventory.txt
cls	registered	never-probed	
collect	missing	never-probed	
color	registered	never-probed	
comb	social	never-probed	
comfort	social	never-probed	
commands	registered	never-probed	
compact	registered	probed	toggle-cluster.txt
compare	registered	never-probed	
consider	registered	probed	character-view.txt
cough	social	never-probed	
credits	registered	probed	static-text.txt
cringe	social	never-probed	
cry	social	never-probed	
ctell	registered	never-probed	
cuddle	social	never-probed	
curse	social	never-probed	
curtsey	social	never-probed	
cutthroat	registered	never-probed	
dance	social	probed	command-abbreviations.txt
dark	registered	never-probed	
date	registered	never-probed	
daydream	social	never-probed	
dc	registered	never-probed	
deposit	specproc	never-probed	
diagnose	registered	probed	observation.txt
dig	implemented-unwired	never-probed	
disarm	registered	never-probed	
disembowel	registered	never-probed	
dismount	registered	never-probed	
display	registered	probed	display-cluster.txt
dns	missing	never-probed	
doh	social	never-probed	
donate	registered	never-probed	
down	registered	never-probed	
dragon	registered	never-probed	
dream	registered	never-probed	
drink	registered	probed	consumables.txt,hunger-thirst.txt
drool	social	never-probed	
drop	registered	probed	act-obj-sweep.txt,inv-equip.txt,object-doors.txt,object-inventory.txt
east	registered	never-probed	
eat	registered	probed	act-obj-sweep.txt,consumables.txt,hunger-thirst.txt
echo	registered	never-probed	
embrace	social	never-probed	
emote	registered	never-probed	
enter	registered	probed	movement.txt
equipment	registered	probed	equipment-takename.txt,inv-equip.txt,object-starting-gear.txt
escape	specproc	never-probed	
examine	registered	probed	observation.txt
exits	registered	probed	observation-roomflags.txt,observation.txt,room-desc-exits.txt
fade	social	never-probed	
faint	social	never-probed	
farewell	social	never-probed	
fart	social	never-probed	
fill	registered	probed	consumables.txt
finger	implemented-unwired	probed	mortal-503-sweep.txt
flee	registered	never-probed	
flesh	registered	never-probed	
flex	social	never-probed	
flip	social	never-probed	
flirt	social	never-probed	
follow	registered	probed	movement.txt
fondle	social	never-probed	
force	registered	never-probed	
freeze	implemented-unwired	never-probed	
french	social	never-probed	
frown	social	never-probed	
fume	social	never-probed	
future	registered	never-probed	
fwap	social	never-probed	
gag	social	never-probed	
gasp	social	never-probed	
gecho	registered	never-probed	
get	registered	probed	act-obj-sweep.txt,consumables.txt,hunger-thirst.txt,object-inventory.txt
giggle	social	never-probed	
give	registered	probed	act-obj-sweep.txt,object-give-mob.txt,object-give-nobody.txt
glance	registered	never-probed	
glare	social	never-probed	
gold	implemented-unwired	probed	mortal-503-sweep.txt
goose	social	never-probed	
gossip	registered	probed	command-abbreviations.txt,communication-channels.txt
goto	registered	never-probed	
grab	registered	never-probed	
grats	registered	probed	command-surface-punctuation.txt
greet	social	never-probed	
grimace	social	never-probed	
grin	social	probed	command-abbreviations.txt
groan	social	never-probed	
groinrip	registered	never-probed	
grope	social	never-probed	
group	registered	never-probed	
grovel	social	never-probed	
growl	social	never-probed	
grumble	social	never-probed	
gsay	registered	never-probed	
gtell	registered	never-probed	
handbook	registered	never-probed	
hcontrol	registered	never-probed	
headbutt	registered	never-probed	
heh	social	never-probed	
help	registered	probed	help-system.txt
hiccup	social	never-probed	
hide	registered	probed	thief-hide.txt
highfive	social	never-probed	
hire	missing	never-probed	
hit	registered	probed	combat-death.txt,combat-swing.txt
hold	registered	probed	act-obj-sweep.txt,equipment.txt
holler	missing	never-probed	
holylight	registered	never-probed	
home	registered	never-probed	
hop	social	never-probed	
house	registered	never-probed	
howl	social	never-probed	
hug	social	never-probed	
hum	social	never-probed	
hump	social	never-probed	
hush	social	never-probed	
idea	registered	never-probed	
ident	missing	never-probed	
idlist	registered	never-probed	
immlist	registered	probed	static-text.txt
imotd	registered	never-probed	
inactive	registered	never-probed	
info	registered	probed	static-text.txt
infobar	registered	never-probed	
insult	registered	never-probed	
inventory	registered	probed	command-abbreviations.txt,inv-equip.txt,object-starting-gear.txt
invis	registered	never-probed	
jeer	social	never-probed	
jin	registered	never-probed	
junk	registered	probed	act-obj-sweep.txt
kabuki	implemented-unwired	never-probed	
kai	registered	never-probed	
kick	registered	never-probed	
kill	registered	never-probed	
kiss	social	never-probed	
kyo	registered	never-probed	
lambada	social	never-probed	
last	registered	never-probed	
laugh	social	never-probed	
leave	registered	never-probed	
leer	social	never-probed	
levels	registered	probed	pager-navigation.txt
lick	social	never-probed	
lines	registered	never-probed	
list	registered	never-probed	
listen	social	never-probed	
load	registered	never-probed	
lock	registered	probed	object-doors.txt
look	registered	probed	combat-death.txt,command-abbreviations.txt,look-start-room.txt,newbie-start-room.txt,observation-roomflags.txt,observation.txt,room-desc-exits.txt
love	social	never-probed	
luaedit	missing	never-probed	
mail	missing	never-probed	
map	registered	never-probed	
massage	social	never-probed	
medit	missing	never-probed	
mindlink	registered	never-probed	
mlist	registered	never-probed	
moan	social	never-probed	
mold	registered	never-probed	
mosh	social	never-probed	
motd	registered	probed	static-text.txt
mount	registered	never-probed	
muhaha	social	never-probed	
mumble	social	never-probed	
murder	implemented-unwired	never-probed	
mute	implemented-unwired	never-probed	
neckbreak	registered	never-probed	
newbie	registered	never-probed	
news	registered	probed	static-text.txt
nibble	social	never-probed	
noauction	registered	probed	toggle-cluster.txt
